id	title	publisher	perspective	domains	kind	languages	format	url	bytes	license	license_url	access	update	checksum_url	homepage	verified	recommend	notes
wikifunctions	Wikifunctions XML dump (function catalogue)	Wikimedia Foundation (Wikifunctions)	Wikimedia Abstract Wikipedia team and Wikifunctions volunteers (global)	acat/language;acat/technology;acat/thought	ontology	711	xml	https://dumps.wikimedia.org/wikifunctionswiki/latest/wikifunctionswiki-latest-pages-articles.xml.bz2	16486599	CC0 1.0 for function definitions, labels and documentation in the main namespace; Apache 2.0 for code and implementations; CC BY-SA 4.0 for other namespaces	https://dumps.wikimedia.org/legal.html	open	monthly XML dumps (1st of the month)	https://dumps.wikimedia.org/wikifunctionswiki/latest/wikifunctionswiki-latest-sha1sums.txt	https://www.wikifunctions.org/	HEAD 200 2026-09-25	no	2026-09-01 dump (sha1 3f4f963e...): 31,694 main-namespace ZObjects stored as canonical JSON (content model zobject): 5,422 functions (Z8), 9,059 implementations (Z14), 15,445 testers (Z20), 1,070 natural-language objects (Z60), 81 types (Z4). Labels in Z2K3 (Z12 multilingual text; each Z11 names its language by a Z60 ZID, e.g. Z1002 = English): 711 distinct languages used. kind is the nearest fit: a typed object/function model, not domain knowledge. Main-page news 2026-09-03: '5,000 Functions, passing Z40000'. Relevant to acat only as the rendering layer of Abstract Wikipedia.
dbpedia-ontology	DBpedia Ontology (DBO), parsed N-Triples, Databus/Archivo version 2024.08.01-180007	DBpedia Association (DBpedia Archivo on the DBpedia Databus)	DBpedia community and InfAI Leipzig (academic association, Germany); classes designed to type Wikipedia infoboxes, English-first	acat/arts;acat/belief;acat/earth;acat/everyday;acat/health;acat/language;acat/life;acat/matter;acat/mind;acat/past;acat/society;acat/technology;acat/thought	ontology	35	rdf-nt	https://databus.dbpedia.org/ontologies/dbpedia.org/ontology/2024.08.01-180007/ontology_type=parsed.nt	9858392	CC BY-SA 3.0 (DataID dct:license http://creativecommons.org/licenses/by-sa/3.0/)	https://databus.dbpedia.org/ontologies/dbpedia.org/ontology/2024.08.01-180007	open	new Archivo version when the ontology changes; newest on the Databus is 2024-08-01	https://databus.dbpedia.org/ontologies/dbpedia.org/ontology/2024.08.01-180007	https://www.dbpedia.org/resources/ontology/	HEAD 200 2026-09-25	yes	307 redirect to akswnc7.informatik.uni-leipzig.de; sha256 33408e32640911a0d32575054d1c8d02a6d7725878f56b73758674d3af9e1d05 from the DataID (checked against a local copy). 1,564 dbo classes, 3,235 properties, 1,607 rdfs:subClassOf (a DAG: several parents allowed), rdfs:label in 35 language tags (en 5,035, de 2,226, ur, nl, fr, el, ja...; two non-standard tags 'in' and 'kr'), owl:equivalentClass to Wikidata (675) and schema.org (78): a ready-made crosswalk. Also .owl (12,476,637) and .ttl (4,184,959). archivo.dbpedia.org timed out today; the DBpedia Snapshot page still cites ontology--DEV 2021.07.09 for its last snapshot.
dbpedia-kg-instance-types-en	DBpedia Wikipedia KG Dump 2025-12-01, instance types (English graph)	DBpedia Association (DBpedia Databus)	DBpedia extraction framework over English Wikipedia infoboxes (academic association, Germany); inherits English Wikipedia's coverage	acat/arts;acat/belief;acat/earth;acat/everyday;acat/health;acat/language;acat/life;acat/matter;acat/mind;acat/past;acat/society;acat/technology;acat/thought	knowledge-graph	1	rdf-ttl	https://databus.dbpedia.org/dbpedia/dbpedia-wikipedia-kg-dump/instance-types/2025-12-01/instance-types_graph=dbpedia-org_partition=rdf-type.ttl.gz	752403116	CC-BY-SA-4.0 (Databus DataID)	https://databus.dbpedia.org/dbpedia/dbpedia-wikipedia-kg-dump/instance-types/2025-12-01	open	irregular: 2025-12-01 (issued 2025-12-18) is the newest release on the Databus although the Snapshot page promises quarterly releases	https://databus.dbpedia.org/dbpedia/dbpedia-wikipedia-kg-dump/instance-types/2025-12-01	https://databus.dbpedia.org/dbpedia/dbpedia-wikipedia-kg-dump	HEAD 200 2026-09-25	no	Redirects to downloads.dbpedia.org/repo/...; sha256 377df456... in the DataID. Lines are N-Triples syntax inside a .ttl.gz. rdf:type of dbpedia.org/resource/* with materialised superclasses (owl:Thing, dbo:*, DUL, Wikidata Q-classes, schema.org), plus dbo:Image rows for Commons files (filter). The same group (Wikipedia KG Dump, 'original extraction before enrichment') has labels (rdfs-label 178,346,665), skos-categories (skos-broader 57,883,781; skos-prefLabel 41,222,527; dct-subject 527,810,509), redirects, geo-coordinates, owl:sameAs links, textual-descriptions, for graphs dbpedia-org, de-dbpedia-org and fr-dbpedia-org. Pattern: https://databus.dbpedia.org/dbpedia/dbpedia-wikipedia-kg-dump/{artifact}/2025-12-01/{artifact}_graph={graph}_partition={partition}.ttl.gz; list files with the Databus SPARQL endpoint. The older dbpedia/mappings/* artifacts stop at 2022.12.01.
yago-4.6-schema	YAGO 4.6 schema (upper taxonomy and SHACL shapes)	YAGO team, Télécom Paris	YAGO team, Télécom Paris / Institut Polytechnique de Paris (academic, France): a logically consistent subset of Wikidata under schema.org-based upper classes	acat/arts;acat/belief;acat/earth;acat/everyday;acat/health;acat/language;acat/life;acat/matter;acat/mind;acat/past;acat/society;acat/technology;acat/thought	ontology	1	rdf-ttl	https://yago-knowledge.org/data/yago4.6/yago-4.6-schema.zip	19471	Creative Commons Attribution (CC BY 4.0)	https://yago-knowledge.org/downloads/yago-4-6	open	irregular releases (4.6 files dated 2026-08-03)		https://yago-knowledge.org/downloads/yago-4-6	HEAD 200 2026-09-25	yes	Zip holds yago-schema.ttl (117,074 bytes): 55 sh:NodeShape classes with rdfs:subClassOf, owl:disjointWith (e.g. CreativeWork disjoint with Organization, Event, Person...), English rdfs:label, ys:fromClass naming the Wikidata classes each upper class gathers, and property shapes (domain/range). Directly useful for acat's 'kind' facet and disjointness checks. YAGO 4.6 (ISWC 2026 demo paper: 39M entities, 167M facts) supersedes YAGO 4.5 (yago-4.5.0.2.zip, 12,362,922,810 bytes, CC BY-SA 3.0, still online under /data/yago4.5/; HEAD 200 today). Note the licence change: 4.6 is CC BY, 4.5 was CC BY-SA.
yago-4.6-taxonomy	YAGO 4.6 taxonomy (full class hierarchy with multilingual labels)	YAGO team, Télécom Paris	YAGO team, Télécom Paris / Institut Polytechnique de Paris (academic, France): a logically consistent subset of Wikidata under schema.org-based upper classes	acat/arts;acat/belief;acat/earth;acat/everyday;acat/health;acat/language;acat/life;acat/matter;acat/mind;acat/past;acat/society;acat/technology;acat/thought	taxonomy	692	rdf-ttl	https://yago-knowledge.org/data/yago4.6/yago-4.6-taxonomy.zip	41519942	Creative Commons Attribution (CC BY 4.0)	https://yago-knowledge.org/downloads/yago-4-6	open	irregular releases (4.6 files dated 2026-08-03)		https://yago-knowledge.org/downloads/yago-4-6	HEAD 200 2026-09-25	yes	Zip holds yago-taxonomy.ttl (218,444,322 bytes; Turtle with a @prefix block, then one tab-separated triple per line). Profiled locally: 3.2M triples; 232,531 rdfs:subClassOf over 206,333 classes (several parents allowed; tops are schema.org classes from yago-4.6-schema); 2,120,941 rdfs:label in 692 language tags (incl. regional variants such as en-gb, zh-hk); rdfs:comment; schema:alternateName; owl:sameAs wd:Q... on 206,282 classes; schema:sameAs literals holding Freebase MIDs (/m/...) and WordNet 3.0 synset offsets (e.g. '07889783-n'); yago:siteLinks counts; images. Human-readable IRIs (yago:Pizza). The best small, multilingual, Wikidata-aligned class hierarchy in this cluster.
yago-4.6-facts	YAGO 4.6 facts (entities with an English Wikipedia page)	YAGO team, Télécom Paris	YAGO team, Télécom Paris / Institut Polytechnique de Paris (academic, France): a logically consistent subset of Wikidata under schema.org-based upper classes	acat/arts;acat/belief;acat/earth;acat/everyday;acat/health;acat/language;acat/life;acat/matter;acat/mind;acat/past;acat/society;acat/technology;acat/thought	knowledge-graph	1	rdf-ttl	https://yago-knowledge.org/data/yago4.6/yago-4.6-facts.zip	829349027	Creative Commons Attribution (CC BY 4.0)	https://yago-knowledge.org/downloads/yago-4-6	open	irregular releases (4.6 files dated 2026-08-03)		https://yago-knowledge.org/downloads/yago-4-6	HEAD 200 2026-09-25	no	Zip holds yago-facts.ttl (5,087,821,943 bytes). Truthy-only, SHACL-checked facts with schema.org/YAGO properties, English labels and alternateName (@en, some @mul), owl:sameAs to Wikidata. Other parts in /data/yago4.6/: labels (2,188,238,999), beyond-wikipedia (2,535,563,171), beyond-wikipedia-labels (3,507,195,426), meta (RDF-star time annotations, 106,018,818), fact-log / range-log / taxonomy-log (statements YAGO excluded, in RDF-star), tiny (91,188,862), yago-entities.jsonl.zip (136,639,474). Drops Wikidata references and quantity bounds: use for typing and checks, not as attributed claims.
kbpedia	KBpedia v2.50 knowledge graph (reference concepts, OWL)	KBpedia (Michael K. Bergman)	Michael K. Bergman / Cognonto (independent, USA): Peircean upper ontology KKO with ~70 largely disjoint typologies, mapped to Wikidata and other KBs	acat/arts;acat/belief;acat/earth;acat/everyday;acat/health;acat/language;acat/life;acat/matter;acat/mind;acat/past;acat/society;acat/technology;acat/thought	ontology	1	owl	https://kbpedia.org/kbpedia/v250/kbpedia_reference_concepts.owl	74820227	CC BY 4.0 ('All resources are available under the Creative Commons Attribution 4.0 International (CC BY 4.0) license')	https://kbpedia.org/resources/downloads/	open	static since v2.50 (2020; file Last-Modified 2020-05-07)		https://kbpedia.org/	HEAD 200 2026-09-25	yes	RDF/XML OWL 2. 'More than 58,000 reference concepts' (homepage) with skos:prefLabel, skos:altLabel ('semsets'), skos:definition, rdfs:subClassOf; English only. owl:imports points at a local Windows path (file:///C:/.../kko.n3): load https://kbpedia.org/kbpedia/v250/kko.n3 (373,673 bytes) yourself and disable import resolution. Mappings to external KBs are in kbpedia_reference_concepts_linkage.n3 (50,416,349 bytes, N3). Useful mainly for its disjoint typologies as a consistency check; stale since 2020.
conceptnet-5.7	ConceptNet 5.7 assertions (all edges)	Commonsense Computing Initiative (MIT Media Lab; Luminoso)	MIT Media Lab Commonsense Computing Initiative and Luminoso (academic/commercial, USA); crowdsourced Open Mind Common Sense plus Wiktionary, WordNet, OMW, DBpedia, OpenCyc, JMDict, CLDR	acat/language;acat/everyday;acat/mind;acat/thought	knowledge-graph	304	tsv	https://s3.amazonaws.com/conceptnet/downloads/2019/edges/conceptnet-assertions-5.7.0.csv.gz	497963447	CC BY-SA 4.0 ('The complete data in ConceptNet is available under the Creative Commons Attribution-ShareAlike 4.0 license')	https://github.com/commonsense/conceptnet5/wiki/Copying-and-sharing-ConceptNet	open	static (5.7.0, 2019; no later download listed)		https://conceptnet.io/	HEAD 200 2026-09-25	yes	Named .csv but tab-separated, 5 columns: edge URI, relation (/r/IsA, /r/RelatedTo, /r/Synonym, /r/PartOf, /r/UsedFor, /r/ExternalURL...), start node, end node (/c/{lang}/{term}[/{pos}[/...]]), JSON (dataset, license, sources, weight). Includes all languages; 304 languages (10 core, 68 common, rest small; per the Languages wiki page). api.conceptnet.io answered 502 today; the project is unmaintained. Crowdsourced OMCS assertions carry documented social biases: import only as attributed claims. The attribution text on the licence page still says 'CC BY SA 3.0'.
oewn-2025-plus	Open English WordNet 2025+ (WN-LMF XML)	Open English Wordnet community (Global WordNet Association)	Open-source community fork of Princeton WordNet (USA), maintained under the Global WordNet Association (academic, led from Ireland); English lexical semantics	acat/language	lexicon	1	xml	https://en-word.net/downloads/english-wordnet-2025-plus.xml.gz	12925887	CC BY 4.0 ('released under the Creative Commons Attribution (CC-BY) 4.0 License')	https://en-word.net/	open	annual editions (2025 edition released 2025-12-31)		https://en-word.net/	HEAD 200 2026-09-25	yes	GWA WN-LMF 1.3: LexicalEntry > Lemma(writtenForm, partOfSpeech) > Sense(synset); Synset(id oewn-NNNNNNNN-p, ili='iNNN', members, lexfile e.g. noun.Tops) with Definition, Example and SynsetRelation relType (hypernym, instance_hypernym, mero_*, similar...). 2025+ = core 2025 (english-wordnet-2025.xml.gz, 11,363,503 bytes, no proper nouns) plus curated proper nouns from Open English Namenet (Wikidata-derived); 120,564 synsets, 161,875 words (README). ILI ids join OMW wordnets and CILI (https://github.com/globalwordnet/cili/releases/download/v1.0/cili.tsv.xz, 1,954,300 bytes, CC BY 4.0, HEAD 200 today). The README's /static/ links redirect to /downloads/. Also RDF (.ttl.gz), WNDB and JSON flavours.
omw-2.0	Open Multilingual Wordnet 2.0 data (32 wordnets, WN-LMF XML)	Open Multilingual Wordnet (omwn)	OMW project (Francis Bond et al., academic, international) packaging wordnets made by national research groups, aligned through Princeton WordNet 3.0 / CILI (English-centred structure)	acat/language	lexicon	31	xml	https://github.com/omwn/omw-data/releases/download/v2.0/omw-2.0.tar.xz	55846636	Per wordnet: CC BY 3.0 (sq bg ca es eu fi gl hr is it sv), CC BY-SA 3.0/4.0 (arb lt nl pt ro sk sl), MIT (id zsm), Apache-2.0 (el), ODC-BY (iwn), CeCILL-C (fr), WordNet licence (cmn da he ja nb nn pl th en); omwn.org: 'OMW and its components are open'	https://github.com/omwn/omw-data/blob/main/index.toml	open	irregular (v2.0 asset dated 2026-02-01; v1.4 2021)		https://omwn.org/	HEAD 200 2026-09-25	yes	tar.xz holds omw-2.0/omw-{lg}/omw-{lg}.xml (WN-LMF) with LICENSE, citation.bib and README per wordnet: 32 wordnets, 31 languages (Italian twice: omw-it MultiWordNet, omw-iwn ItalWordNet); omw-en (115 MB XML) is Princeton WordNet 3.0. Synsets carry ili attributes: join with oewn-2025-plus for hypernymy. Most were built by translating PWN (expand approach), so the hierarchy is English-centred; README notes newer versions of many wordnets exist upstream. Listed in the wn package index (omw:2.0). github.com pages answer 403 from this container, but the release asset URL resolves (302 to release-assets.githubusercontent.com).
kaikki-enwiktionary-all	Wiktextract raw data from English Wiktionary, all languages (JSONL)	kaikki.org (Tatu Ylönen)	English Wiktionary editors (global volunteers; glosses in English) extracted by kaikki.org (independent, Finland)	acat/language	lexicon	2793	jsonl	https://kaikki.org/dictionary/raw-wiktextract-data.jsonl.gz	2900576073	CC BY-SA 4.0 and GFDL (Wiktionary text; kaikki.org states no separate data licence)	https://en.wiktionary.org/wiki/Wiktionary:Copyrights	open	'updated regularly (usually at least once a week)'; current: extracted 2026-09-20 from the enwiktionary dump of 2026-09-02		https://kaikki.org/dictionary/rawdata.html	HEAD 200 2026-09-25	no	23.5 GB uncompressed; one JSON object per word entry: word, lang, lang_code, pos, senses[glosses, tags, topics, links, examples], forms, sounds, etymology_text, translations[{lang_code, word, sense}], synonyms, hypernyms, derived, related, 'wikipedia' links. languages is a lower bound: the first 30 MB (about 1%) already hold 1,163 headword languages and 2,793 translation language codes. Wiktextract code is MIT; cite Ylonen, LREC 2022 as the page asks. Per-language and other-edition rows: kaikki-en-turkish, kaikki-trwiktionary.
kaikki-en-turkish	kaikki.org Turkish dictionary from English Wiktionary (postprocessed JSONL, per language)	kaikki.org (Tatu Ylönen)	English Wiktionary editors describing Turkish words in English, extracted by kaikki.org (independent, Finland)	acat/language	lexicon	2	jsonl	https://kaikki.org/dictionary/Turkish/kaikki.org-dictionary-Turkish.jsonl	434802860	CC BY-SA 4.0 and GFDL (Wiktionary text; kaikki.org states no separate data licence)	https://en.wiktionary.org/wiki/Wiktionary:Copyrights	open	with the raw data (at least weekly); the page marks this download 'DEPRECATED, will be removed in the near future'		https://kaikki.org/dictionary/Turkish/index.html	HEAD 200 2026-09-25	no	Pattern: https://kaikki.org/dictionary/{Language, URL-encoded}/kaikki.org-dictionary-{Language without spaces}.jsonl (e.g. Old%20English/kaikki.org-dictionary-OldEnglish.jsonl); pages exist for 467 languages (those with at least about 500 senses); the all-languages postprocessed file All%20languages%20combined/kaikki.org-dictionary-all.jsonl is 27,835,260,712 bytes. Uncompressed, no .gz offered. Turkish: 60,299 senses; languages = Turkish headwords + English glosses. Because of the deprecation (wiktextract issue #1178), a durable pipeline should filter the raw file by lang_code.
kaikki-trwiktionary	Wiktextract extract of Turkish Wiktionary (tr.wiktionary.org, JSONL)	kaikki.org (Tatu Ylönen)	Turkish Wiktionary editors (volunteers writing Turkish glosses) extracted by kaikki.org (independent, Finland)	acat/language	lexicon	413	jsonl	https://kaikki.org/dictionary/downloads/tr/tr-extract.jsonl.gz	43470842	CC BY-SA 4.0 and GFDL (Wikimedia project text)	https://dumps.wikimedia.org/legal.html	open	with the raw data (at least weekly); file Last-Modified 2026-09-20		https://kaikki.org/dictionary/rawdata.html	HEAD 200 2026-09-25	yes	Profiled locally: 1,405,360 entries; headword languages 267 (tr 325,396; el 238,850; fr 216,667; it 153,668; en 82,911: Turkish is under a quarter of entries), translations into 387 language codes, 413 in union. Schema differs from the English-edition extract (pos_title, etymology_texts...); non-English editions are 'work in progress'. Pattern: https://kaikki.org/dictionary/downloads/{ed}/{ed}-extract.jsonl.gz for zh cs nl fr de el id it ja ko ku ms pl pt ru simple es th tr vi (with .log/.errors files).
dbnary-en	DBnary English edition (Wiktionary as OntoLex RDF)	DBnary (Gilles Sérasset, LIG, Université Grenoble Alpes)	English Wiktionary editors, extracted as Linguistic Linked Open Data by Gilles Sérasset (academic, LIG Grenoble, France)	acat/language	lexicon	4255	rdf-ttl	http://kaiko.getalp.org/static/ontolex/latest/en_dbnary_ontolex.ttl.bz2	217718216	CC BY-SA 3.0 Unported ('Dbnary Dataset by Gilles Sérasset is licensed under a Creative Commons Attribution-ShareAlike 3.0 Unported License')	http://kaiko.getalp.org/about-dbnary/	open	'updated each time a wiktionary dump is made available (almost once every 10 days for each language)'; this file 2026-09-04 from dump 20260901		http://kaiko.getalp.org/about-dbnary/	HEAD 200 2026-09-25 (http only; https connection reset)	yes	OntoLex-Lemon plus DBnary vocabulary: ontolex:LexicalEntry, canonicalForm/writtenRep, LexicalSense with skos:definition, dbnary:Translation (target language as lexvo code, writtenForm), lexical relations (synonym, hypernym, antonym...). languages = per-language namespaces declared in en_dbnary_lime.ttl.bz2 (4,255); headword entries are English. Companion files per edition: _enhancement (translation-to-sense links), _morphology, _lime, _statistics, _exolex_*, _etymology (en only). Pattern: http://kaiko.getalp.org/static/ontolex/latest/{ll}_dbnary_ontolex.ttl.bz2 for 28 editions (bg ca cs da de el en es et fi fr ga id it ja ku la lt mg nl no pl pt ru sh sv tr zh; tr 14,211,627 bytes). Site notice: 'July/August 2026 extracts have been retracted'. No checksums and no working HTTPS from this container: verify content before trusting it.
babelnet	BabelNet 5.3 (offline indices)	Babelscape / Sapienza NLP (Sapienza University of Rome)	Sapienza NLP and the Babelscape company (academic/commercial, Italy); automatic integration of WordNet, OEWN, Wikipedia, Wikidata, Wiktionary, OmegaWiki, GeoNames and others	acat/arts;acat/belief;acat/earth;acat/everyday;acat/health;acat/language;acat/life;acat/matter;acat/mind;acat/past;acat/society;acat/technology;acat/thought	lexicon	600	other	https://babelnet.org/downloads		BabelNet Non-Commercial License, limited to research institutions	https://babelnet.org/license	restricted	irregular (5.3, December 2023, is still current)		https://babelnet.org/	HEAD 200 2026-09-25 (downloads page; no public file URL)	no	No bulk file is public: the offline indices ('Size: 45G') are released on request through the Sapienza NLP resource repository for non-commercial research with an institutional e-mail; sharing is allowed only with research institutions and adaptations must be labelled as processed BabelNet. The HTTP/Java API (5.3, 22M) needs a key. Incompatible with an open catalogue's store of record; at most cite BabelNet synset ids as external mapping targets. 600 languages per the About page.
openalex-topics	OpenAlex topics (snapshot entity, 4,516 topics)	OurResearch (OpenAlex)	OurResearch / OpenAlex (non-profit, USA); topic scheme built with CWTS Leiden from citation clusters, names and descriptions LLM-generated, mapped to Scopus ASJC fields	acat/arts;acat/belief;acat/earth;acat/everyday;acat/health;acat/language;acat/life;acat/matter;acat/mind;acat/past;acat/society;acat/technology;acat/thought	classification	1	jsonl	https://openalex.s3.amazonaws.com/data/jsonl/topics/manifest.json	4974247	CC0 1.0 (LICENSE.txt at the bucket root)	https://openalex.s3.amazonaws.com/LICENSE.txt	open	public snapshot quarterly, second Wednesday of Jan/Apr/Jul/Oct (next 2026-10-14); release 2026-09-23 is live; daily snapshots only on paid plans		https://help.openalex.org/access/snapshot/	HEAD 200 2026-09-25	yes	url is the per-entity manifest (date 2026-09-23, 4,516 records, content_length 4,974,247 over 4 gzip part files under updated_date=... partitions): fetch every files[].url. Record: id (T#####), display_name, description and keywords (LLM-generated), ids.wikipedia (all 4,516; no Wikidata id), subfield/field/domain objects (the 4-level hierarchy), siblings, works_count. English only. Snapshot needs no account or key (aws s3 sync --no-sign-request, or plain HTTPS: replace s3://openalex/ with https://openalex.s3.amazonaws.com/). The API works without a key on a small free daily budget; a free key raises it tenfold and heavy use is paid (help.openalex.org, 2026). Each release replaces the bucket in place, so record the manifest date. 
openalex-subfields	OpenAlex subfields (snapshot entity, 252 subfields)	OurResearch (OpenAlex)	OurResearch / OpenAlex (non-profit, USA); topic scheme built with CWTS Leiden from citation clusters, names and descriptions LLM-generated, mapped to Scopus ASJC fields	acat/arts;acat/belief;acat/earth;acat/everyday;acat/health;acat/language;acat/life;acat/matter;acat/mind;acat/past;acat/society;acat/technology;acat/thought	classification	1	jsonl	https://openalex.s3.amazonaws.com/data/jsonl/subfields/manifest.json	212327	CC0 1.0 (LICENSE.txt at the bucket root)	https://openalex.s3.amazonaws.com/LICENSE.txt	open	public snapshot quarterly, second Wednesday of Jan/Apr/Jul/Oct (next 2026-10-14); release 2026-09-23 is live; daily snapshots only on paid plans		https://help.openalex.org/access/snapshot/	HEAD 200 2026-09-25	yes	url is the manifest; it lists one part (252 records, 212,327 bytes = bytes). Record: numeric id, display_name, display_name_alternatives, description, ids.wikidata and ids.wikipedia (Wikidata URIs come in two forms: 160 http://www.wikidata.org/entity/Q..., 92 https://www.wikidata.org/wiki/Q... - normalise), field, domain, topics[], siblings. Level 3 of domains > fields > subfields > topics (ASJC-derived). Snapshot needs no account or key (aws s3 sync --no-sign-request, or plain HTTPS: replace s3://openalex/ with https://openalex.s3.amazonaws.com/). The API works without a key on a small free daily budget; a free key raises it tenfold and heavy use is paid (help.openalex.org, 2026). Each release replaces the bucket in place, so record the manifest date. 
openalex-fields	OpenAlex fields (snapshot entity, 26 fields)	OurResearch (OpenAlex)	OurResearch / OpenAlex (non-profit, USA); topic scheme built with CWTS Leiden from citation clusters, names and descriptions LLM-generated, mapped to Scopus ASJC fields	acat/arts;acat/belief;acat/earth;acat/everyday;acat/health;acat/language;acat/life;acat/matter;acat/mind;acat/past;acat/society;acat/technology;acat/thought	classification	1	jsonl	https://openalex.s3.amazonaws.com/data/jsonl/fields/manifest.json	7196	CC0 1.0 (LICENSE.txt at the bucket root)	https://openalex.s3.amazonaws.com/LICENSE.txt	open	public snapshot quarterly, second Wednesday of Jan/Apr/Jul/Oct (next 2026-10-14); release 2026-09-23 is live; daily snapshots only on paid plans		https://help.openalex.org/access/snapshot/	HEAD 200 2026-09-25	yes	url is the manifest; it lists one part (26 records, 7,196 bytes = bytes). Record: numeric id, display_name, description, ids.wikidata/ids.wikipedia, domain, subfields[], siblings. The 26 fields follow Scopus ASJC subject areas (e.g. 'Arts and Humanities' sits under domain 'Social Sciences'): a natural crosswalk target for ACAT domains. Snapshot needs no account or key (aws s3 sync --no-sign-request, or plain HTTPS: replace s3://openalex/ with https://openalex.s3.amazonaws.com/). The API works without a key on a small free daily budget; a free key raises it tenfold and heavy use is paid (help.openalex.org, 2026). Each release replaces the bucket in place, so record the manifest date. 
openalex-domains	OpenAlex domains (snapshot entity, 4 domains)	OurResearch (OpenAlex)	OurResearch / OpenAlex (non-profit, USA); topic scheme built with CWTS Leiden from citation clusters, names and descriptions LLM-generated, mapped to Scopus ASJC fields	acat/arts;acat/belief;acat/earth;acat/everyday;acat/health;acat/language;acat/life;acat/matter;acat/mind;acat/past;acat/society;acat/technology;acat/thought	classification	1	jsonl	https://openalex.s3.amazonaws.com/data/jsonl/domains/manifest.json	1175	CC0 1.0 (LICENSE.txt at the bucket root)	https://openalex.s3.amazonaws.com/LICENSE.txt	open	public snapshot quarterly, second Wednesday of Jan/Apr/Jul/Oct (next 2026-10-14); release 2026-09-23 is live; daily snapshots only on paid plans		https://help.openalex.org/access/snapshot/	HEAD 200 2026-09-25	yes	url is the manifest; it lists one part (4 records, 1,175 bytes = bytes): Life Sciences, Social Sciences, Physical Sciences, Health Sciences, each with ids.wikidata, ids.wikipedia, description, fields[]. The top of the topic hierarchy; a four-way science split (humanities fold into Social Sciences). Snapshot needs no account or key (aws s3 sync --no-sign-request, or plain HTTPS: replace s3://openalex/ with https://openalex.s3.amazonaws.com/). The API works without a key on a small free daily budget; a free key raises it tenfold and heavy use is paid (help.openalex.org, 2026). Each release replaces the bucket in place, so record the manifest date. 
openalex-concepts	OpenAlex concepts, legacy frozen copy (65,073 MAG-derived concepts)	OurResearch (OpenAlex)	Microsoft Academic Graph field-of-study taxonomy (Microsoft Research, USA) adopted by OurResearch (non-profit, USA); deprecated and frozen	acat/arts;acat/belief;acat/earth;acat/everyday;acat/health;acat/language;acat/life;acat/matter;acat/mind;acat/past;acat/society;acat/technology;acat/thought	thesaurus	410	jsonl	https://openalex.s3.amazonaws.com/legacy-data/concepts/manifest	92958668	CC0 1.0 (LICENSE.txt at the bucket root)	https://openalex.s3.amazonaws.com/LICENSE.txt	open	frozen: concepts deprecated in favour of topics; legacy-data/ is 'frozen, not updated' (last parts 2025-11)		https://help.openalex.org/data/concepts/	HEAD 200 2026-09-25	yes	url is the legacy manifest; bytes = its meta.content_length (28 gzip parts, 65,073 records). Use this legacy copy, not data/jsonl/concepts/ (65,026 records, 6,781,145 bytes): in the 2026-09-23 snapshot ancestors, related_concepts and international are null on every record. Quirk: the legacy manifest lists s3://openalex/data/concepts/...; the files live at .../legacy-data/concepts/updated_date=.../part_000.gz (rewrite the prefix). Record: id (C...), wikidata (all), display_name, level 0-5, description, ancestors (broader chain), related_concepts, international.display_name / description (Wikidata-derived labels), ids (mag, wikipedia, umls_cui, umls_aui). languages is a lower bound: 410 codes in an 812-record sample. Snapshot needs no account or key (aws s3 sync --no-sign-request, or plain HTTPS: replace s3://openalex/ with https://openalex.s3.amazonaws.com/). The API works without a key on a small free daily budget; a free key raises it tenfold and heavy use is paid (help.openalex.org, 2026). Each release replaces the bucket in place, so record the manifest date. 
crossref-public-data-2026	Crossref public data file, March 2026 (all Crossref DOI records, JSONL)	Crossref	Crossref (membership non-profit of scholarly publishers); metadata deposited by 24,000+ members in 160+ countries, publisher-reported and uneven	acat/arts;acat/belief;acat/earth;acat/everyday;acat/health;acat/language;acat/life;acat/matter;acat/mind;acat/past;acat/society;acat/technology;acat/thought	bibliographic	1	jsonl	https://academictorrents.com/download/b5ee0e102689b3e67023dd024694c0f5f124646f.torrent	223053729528	Bibliographic metadata incl. references: facts, not subject to copyright; Crossref-generated data CC0; Open Funder Registry and Retraction Watch CC0; abstracts: copyright held by publisher or author	https://www.crossref.org/documentation/retrieve-metadata/	open	annual public data file (March); monthly snapshots only for Metadata Plus subscribers		https://www.crossref.org/documentation/retrieve-metadata/bulk-downloads/	HEAD 200 2026-09-25 (.torrent file)	no	No plain HTTPS copy: BitTorrent via Academic Torrents (DOI 10.13003/nggf-vt1j), or AWS S3 requester-pays bucket api-snapshots-reqpays-crossref (AWS account; requester pays about USD 18). bytes = total length in the .torrent (35,909 files: 35,908 N.jsonl.gz plus one .py; about 180M records up to part of March 2026; blog says 208 GB); torrent piece hashes serve as checksums. Works (journal articles, books, datasets...) with titles in their original languages (untagged, hence languages=1), authors with ORCID, ROR affiliations, funders, references, licences, relations, Retraction Watch data. Too large for the lean layout: use it to count works per subject/ISSN or to resolve DOIs cited by claims.
