from	to	relation	status	method	reviewer	note
acat/photography	wd/Q11633	exactMatch	accepted	sparql-label+review	claude (AI agent, session 2026-09-25)	matched 'photography' (210 sitelinks)
acat/calligraphy	wd/Q12681	exactMatch	accepted	sparql-label+review	claude (AI agent, session 2026-09-25)	matched 'calligraphy' (122 sitelinks)
acat/textile-arts	wd/Q10988986	exactMatch	accepted	reviewer-suggested-label+review	claude (AI agent, session 2026-09-25)	
acat/ceramics	wd/Q11642	closeMatch	accepted	sparql-label+review	claude (AI agent, session 2026-09-25)	matched 'pottery' (122 sitelinks)
acat/decorative-arts	wd/Q207241	closeMatch	accepted	sparql-label+review	claude (AI agent, session 2026-09-25)	matched 'applied arts' (58 sitelinks)
acat/rock-art	wd/Q1211146	exactMatch	accepted	sparql-label+review	claude (AI agent, session 2026-09-25)	matched 'rock art' (35 sitelinks)
acat/art-history	wd/Q50637	closeMatch	accepted	reviewer-suggested-label+review	claude (AI agent, session 2026-09-25)	
acat/performing-arts	wd/Q184485	exactMatch	accepted	sparql-label+review	claude (AI agent, session 2026-09-25)	matched 'performing arts' (85 sitelinks)
acat/theatre	wd/Q11635	exactMatch	accepted	reviewer-suggested-label+review	claude (AI agent, session 2026-09-25)	
acat/dance	wd/Q11639	exactMatch	accepted	sparql-label+review	claude (AI agent, session 2026-09-25)	matched 'dance' (229 sitelinks)
acat/puppetry	wd/Q588750	exactMatch	accepted	sparql-label+review	claude (AI agent, session 2026-09-25)	matched 'puppetry' (63 sitelinks)
acat/opera-and-music-theatre	wd/Q1344	narrowMatch	accepted	sparql-label+review	claude (AI agent, session 2026-09-25)	matched 'opera' (168 sitelinks)
acat/film	wd/Q11424	closeMatch	accepted	reviewer-suggested-label+review	claude (AI agent, session 2026-09-25)	
acat/animation	wd/Q11425	exactMatch	accepted	sparql-label+review	claude (AI agent, session 2026-09-25)	matched 'animation' (145 sitelinks)
acat/documentary-film	wd/Q93204	exactMatch	accepted	sparql-label+review	claude (AI agent, session 2026-09-25)	matched 'documentary film' (96 sitelinks)
acat/architecture	wd/Q12271	exactMatch	accepted	sparql-label+review	claude (AI agent, session 2026-09-25)	matched 'architecture' (251 sitelinks)
acat/vernacular-architecture	wd/Q930314	exactMatch	accepted	reviewer-suggested-label+review	claude (AI agent, session 2026-09-25)	
acat/landscape-architecture	wd/Q47844	closeMatch	accepted	sparql-label+review	claude (AI agent, session 2026-09-25)	matched 'landscape architecture' (62 sitelinks)
acat/urban-planning	wd/Q69883	closeMatch	accepted	reviewer-suggested-label+review	claude (AI agent, session 2026-09-25)	
acat/design	wd/Q82604	exactMatch	accepted	sparql-label+review	claude (AI agent, session 2026-09-25)	matched 'design' (100 sitelinks)
acat/graphic-design	wd/Q185925	exactMatch	accepted	sparql-label+review	claude (AI agent, session 2026-09-25)	matched 'graphic design' (73 sitelinks)
acat/industrial-design	wd/Q243606	exactMatch	accepted	sparql-label+review	claude (AI agent, session 2026-09-25)	matched 'industrial design' (50 sitelinks)
acat/fashion-design	wd/Q29583	exactMatch	accepted	sparql-label+review	claude (AI agent, session 2026-09-25)	matched 'fashion design' (44 sitelinks)
acat/interaction-design	wd/Q1061656	exactMatch	accepted	sparql-label+review	claude (AI agent, session 2026-09-25)	matched 'interaction design' (26 sitelinks)
acat/belief	wd/Q9174	narrowMatch	accepted	sparql-label+review	claude (AI agent, session 2026-09-25)	matched 'religion' (304 sitelinks)
acat/religion	wd/Q9174	exactMatch	accepted	sparql-label+review	claude (AI agent, session 2026-09-25)	matched 'religion' (304 sitelinks)
acat/religious-studies	wd/Q34187	exactMatch	accepted	sparql-label+review	claude (AI agent, session 2026-09-25)	matched 'religious studies' (63 sitelinks)
acat/theology	wd/Q34178	exactMatch	accepted	sparql-label+review	claude (AI agent, session 2026-09-25)	matched 'theology' (160 sitelinks)
acat/ritual-and-worship	wd/Q189819	closeMatch	accepted	reviewer-suggested-label+review	claude (AI agent, session 2026-09-25)	
acat/sacred-texts	wd/Q179461	exactMatch	accepted	reviewer-suggested-label+review	claude (AI agent, session 2026-09-25)	
acat/mysticism	wd/Q45996	closeMatch	accepted	reviewer-suggested-label+review	claude (AI agent, session 2026-09-25)	
acat/sacred-places-and-pilgrimage	wd/Q1644573	narrowMatch	accepted	sparql-label+review	claude (AI agent, session 2026-09-25)	matched 'pilgrimage' (94 sitelinks)
acat/religious-traditions			unmatched	sparql-label+review	claude (AI agent, session 2026-09-25)	no Wikidata item judged equivalent in review
acat/african-traditional-religions	wd/Q386498	exactMatch	accepted	reviewer-suggested-label+review	claude (AI agent, session 2026-09-25)	
acat/afro-diasporic-religions	wd/Q388202	closeMatch	accepted	reviewer-suggested-label+review	claude (AI agent, session 2026-09-25)	
acat/ancient-religions	wd/Q12379659	closeMatch	accepted	reviewer-suggested-label+review	claude (AI agent, session 2026-09-25)	
acat/bahai-faith	wd/Q22679	exactMatch	accepted	sparql-label+review	claude (AI agent, session 2026-09-25)	matched 'Baháʼí Faith' (147 sitelinks)
acat/buddhism	wd/Q748	exactMatch	accepted	sparql-label+review	claude (AI agent, session 2026-09-25)	matched 'Buddhism' (285 sitelinks)
acat/chinese-folk-religion	wd/Q1074275	exactMatch	accepted	sparql-label+review	claude (AI agent, session 2026-09-25)	matched 'Chinese folk religion' (53 sitelinks)
acat/christianity	wd/Q5043	exactMatch	accepted	sparql-label+review	claude (AI agent, session 2026-09-25)	matched 'Christianity' (322 sitelinks)
acat/confucianism	wd/Q9581	exactMatch	accepted	sparql-label+review	claude (AI agent, session 2026-09-25)	matched 'Confucianism' (156 sitelinks)
acat/druze-faith	wd/Q20945640	exactMatch	accepted	reviewer-suggested-label+review	claude (AI agent, session 2026-09-25)	
acat/hinduism	wd/Q9089	exactMatch	accepted	sparql-label+review	claude (AI agent, session 2026-09-25)	matched 'Hinduism' (266 sitelinks)
acat/indigenous-religions-americas	wd/Q5162345	narrowMatch	accepted	reviewer-suggested-label+review	claude (AI agent, session 2026-09-25)	
acat/indigenous-religions-oceania			unmatched	sparql-label+review	claude (AI agent, session 2026-09-25)	no Wikidata item judged equivalent in review
acat/islam	wd/Q432	exactMatch	accepted	sparql-label+review	claude (AI agent, session 2026-09-25)	matched 'Islam' (337 sitelinks)
acat/jainism	wd/Q9232	exactMatch	accepted	sparql-label+review	claude (AI agent, session 2026-09-25)	matched 'Jainism' (159 sitelinks)
acat/judaism	wd/Q9268	exactMatch	accepted	sparql-label+review	claude (AI agent, session 2026-09-25)	matched 'Judaism' (263 sitelinks)
acat/mandaeism	wd/Q205754	exactMatch	accepted	sparql-label+review	claude (AI agent, session 2026-09-25)	matched 'Mandaeism' (45 sitelinks)
acat/modern-paganism	wd/Q189753	exactMatch	accepted	sparql-label+review	claude (AI agent, session 2026-09-25)	matched 'modern paganism' (64 sitelinks)
acat/new-religious-movements	wd/Q477544	exactMatch	accepted	reviewer-suggested-label+review	claude (AI agent, session 2026-09-25)	
acat/shamanism	wd/Q42042	exactMatch	accepted	sparql-label+review	claude (AI agent, session 2026-09-25)	matched 'shamanism' (103 sitelinks)
acat/shinto	wd/Q812767	exactMatch	accepted	sparql-label+review	claude (AI agent, session 2026-09-25)	matched 'Shinto' (153 sitelinks)
acat/sikhism	wd/Q9316	exactMatch	accepted	sparql-label+review	claude (AI agent, session 2026-09-25)	matched 'Sikhism' (169 sitelinks)
acat/taoism	wd/Q9598	exactMatch	accepted	sparql-label+review	claude (AI agent, session 2026-09-25)	matched 'Taoism' (174 sitelinks)
acat/tengrism	wd/Q837605	exactMatch	accepted	sparql-label+review	claude (AI agent, session 2026-09-25)	matched 'Tengrism' (64 sitelinks)
acat/yazidism	wd/Q18670106	exactMatch	accepted	sparql-label+review	claude (AI agent, session 2026-09-25)	matched 'Yazidism' (36 sitelinks)
acat/zoroastrianism	wd/Q9601	exactMatch	accepted	sparql-label+review	claude (AI agent, session 2026-09-25)	matched 'Zoroastrianism' (162 sitelinks)
acat/secular-worldviews	wd/Q58721	closeMatch	accepted	sparql-label+review	claude (AI agent, session 2026-09-25)	matched 'irreligion' (79 sitelinks)
acat/atheism	wd/Q7066	exactMatch	accepted	sparql-label+review	claude (AI agent, session 2026-09-25)	matched 'atheism' (225 sitelinks)
acat/agnosticism	wd/Q288928	exactMatch	accepted	sparql-label+review	claude (AI agent, session 2026-09-25)	matched 'agnosticism' (132 sitelinks)
acat/humanism	wd/Q46158	closeMatch	accepted	sparql-label+review	claude (AI agent, session 2026-09-25)	matched 'humanism' (130 sitelinks)
acat/secularism	wd/Q216920	exactMatch	accepted	sparql-label+review	claude (AI agent, session 2026-09-25)	matched 'secularism' (103 sitelinks)
acat/spirituality	wd/Q168796	exactMatch	accepted	sparql-label+review	claude (AI agent, session 2026-09-25)	matched 'spirituality' (100 sitelinks)
acat/mythology-and-folklore	wd/Q9134	closeMatch	accepted	reviewer-suggested-label+review	claude (AI agent, session 2026-09-25)	
acat/creation-narratives	wd/Q215304	closeMatch	accepted	reviewer-suggested-label+review	claude (AI agent, session 2026-09-25)	
acat/folklore	wd/Q36192	exactMatch	accepted	sparql-label+review	claude (AI agent, session 2026-09-25)	matched 'folklore' (141 sitelinks)
acat/legendary-creatures			unmatched	sparql-label+review	claude (AI agent, session 2026-09-25)	no Wikidata item judged equivalent in review
acat/divination-and-esotericism			unmatched	sparql-label+review	claude (AI agent, session 2026-09-25)	no Wikidata item judged equivalent in review
acat/astrology	wd/Q34362	exactMatch	accepted	sparql-label+review	claude (AI agent, session 2026-09-25)	matched 'astrology' (158 sitelinks)
acat/alchemy	wd/Q39689	exactMatch	accepted	sparql-label+review	claude (AI agent, session 2026-09-25)	matched 'alchemy' (118 sitelinks)
acat/divination-practices	wd/Q1043197	exactMatch	accepted	sparql-label+review	claude (AI agent, session 2026-09-25)	matched 'divination' (74 sitelinks)
acat/esotericism	wd/Q178934	closeMatch	accepted	sparql-label+review	claude (AI agent, session 2026-09-25)	matched 'occultism' (75 sitelinks)
acat/earth	wd/Q2	closeMatch	accepted	sparql-label+review	claude (AI agent, session 2026-09-25)	matched 'Earth' (368 sitelinks)
acat/geology	wd/Q1069	exactMatch	accepted	sparql-label+review	claude (AI agent, session 2026-09-25)	matched 'geology' (218 sitelinks)
acat/mineralogy	wd/Q83353	exactMatch	accepted	sparql-label+review	claude (AI agent, session 2026-09-25)	matched 'mineralogy' (96 sitelinks)
acat/petrology	wd/Q163082	exactMatch	accepted	sparql-label+review	claude (AI agent, session 2026-09-25)	matched 'petrology' (79 sitelinks)
acat/plate-tectonics	wd/Q7950	exactMatch	accepted	sparql-label+review	claude (AI agent, session 2026-09-25)	matched 'plate tectonics' (123 sitelinks)
acat/volcanology	wd/Q102904	exactMatch	accepted	sparql-label+review	claude (AI agent, session 2026-09-25)	matched 'volcanology' (72 sitelinks)
acat/seismology	wd/Q83371	exactMatch	accepted	sparql-label+review	claude (AI agent, session 2026-09-25)	matched 'seismology' (93 sitelinks)
acat/geochronology	wd/Q43521	closeMatch	accepted	sparql-label+review	claude (AI agent, session 2026-09-25)	matched 'geologic time scale' (97 sitelinks)
acat/palaeontology	wd/Q7205	exactMatch	accepted	sparql-label+review	claude (AI agent, session 2026-09-25)	matched 'paleontology' (127 sitelinks)
acat/geomorphology	wd/Q52109	exactMatch	accepted	sparql-label+review	claude (AI agent, session 2026-09-25)	matched 'geomorphology' (89 sitelinks)
acat/geochemistry	wd/Q161764	exactMatch	accepted	sparql-label+review	claude (AI agent, session 2026-09-25)	matched 'geochemistry' (82 sitelinks)
acat/geophysics	wd/Q46255	exactMatch	accepted	sparql-label+review	claude (AI agent, session 2026-09-25)	matched 'geophysics' (95 sitelinks)
acat/hydrosphere	wd/Q83169	closeMatch	accepted	reviewer-suggested-label+review	claude (AI agent, session 2026-09-25)	
acat/oceanography	wd/Q43518	exactMatch	accepted	sparql-label+review	claude (AI agent, session 2026-09-25)	matched 'oceanography' (104 sitelinks)
acat/hydrology	wd/Q42250	exactMatch	accepted	sparql-label+review	claude (AI agent, session 2026-09-25)	matched 'hydrology' (104 sitelinks)
acat/glaciology	wd/Q52120	exactMatch	accepted	sparql-label+review	claude (AI agent, session 2026-09-25)	matched 'glaciology' (78 sitelinks)
acat/atmosphere	wd/Q3230	closeMatch	accepted	reviewer-suggested-label+review	claude (AI agent, session 2026-09-25)	
acat/meteorology	wd/Q25261	exactMatch	accepted	sparql-label+review	claude (AI agent, session 2026-09-25)	matched 'meteorology' (156 sitelinks)
acat/climatology	wd/Q52139	exactMatch	accepted	sparql-label+review	claude (AI agent, session 2026-09-25)	matched 'climatology' (105 sitelinks)
acat/climate-change	wd/Q125928	closeMatch	accepted	sparql-label+review	claude (AI agent, session 2026-09-25)	matched 'climate change' (136 sitelinks)
acat/physical-geography	wd/Q52107	exactMatch	accepted	sparql-label+review	claude (AI agent, session 2026-09-25)	matched 'physical geography' (90 sitelinks)
acat/soil-science	wd/Q9161265	exactMatch	accepted	sparql-label+review	claude (AI agent, session 2026-09-25)	matched 'soil science' (65 sitelinks)
acat/geoinformation	wd/Q619798	closeMatch	accepted	sparql-label+review	claude (AI agent, session 2026-09-25)	matched 'geomatics' (34 sitelinks)
acat/cartography	wd/Q42515	exactMatch	accepted	sparql-label+review	claude (AI agent, session 2026-09-25)	matched 'cartography' (100 sitelinks)
acat/geodesy	wd/Q131089	exactMatch	accepted	sparql-label+review	claude (AI agent, session 2026-09-25)	matched 'geodesy' (92 sitelinks)
acat/remote-sensing	wd/Q199687	exactMatch	accepted	sparql-label+review	claude (AI agent, session 2026-09-25)	matched 'remote sensing' (66 sitelinks)
acat/geographic-information-systems	wd/Q483130	exactMatch	accepted	reviewer-suggested-label+review	claude (AI agent, session 2026-09-25)	
acat/natural-resources	wd/Q188460	exactMatch	accepted	reviewer-suggested-label+review	claude (AI agent, session 2026-09-25)	
acat/mineral-resources	wd/Q889659	exactMatch	accepted	reviewer-suggested-label+review	claude (AI agent, session 2026-09-25)	
acat/energy-resources	wd/Q1522115	closeMatch	accepted	reviewer-suggested-label+review	claude (AI agent, session 2026-09-25)	
acat/water-resources			unmatched	sparql-label+review	claude (AI agent, session 2026-09-25)	no Wikidata item judged equivalent in review
acat/natural-hazards	wd/Q8065	closeMatch	accepted	reviewer-suggested-label+review	claude (AI agent, session 2026-09-25)	
acat/earthquakes	wd/Q7944	exactMatch	accepted	reviewer-suggested-label+review	claude (AI agent, session 2026-09-25)	
acat/floods	wd/Q8068	exactMatch	accepted	reviewer-suggested-label+review	claude (AI agent, session 2026-09-25)	
acat/droughts	wd/Q43059	exactMatch	accepted	reviewer-suggested-label+review	claude (AI agent, session 2026-09-25)	
acat/tropical-cyclones	wd/Q8092	exactMatch	accepted	reviewer-suggested-label+review	claude (AI agent, session 2026-09-25)	
acat/wildfires	wd/Q169950	exactMatch	accepted	reviewer-suggested-label+review	claude (AI agent, session 2026-09-25)	
acat/tsunamis	wd/Q8070	exactMatch	accepted	reviewer-suggested-label+review	claude (AI agent, session 2026-09-25)	
acat/environmental-science	wd/Q188847	exactMatch	accepted	sparql-label+review	claude (AI agent, session 2026-09-25)	matched 'environmental science' (65 sitelinks)
acat/pollution	wd/Q58734	exactMatch	accepted	sparql-label+review	claude (AI agent, session 2026-09-25)	matched 'pollution' (121 sitelinks)
acat/sustainability	wd/Q219416	exactMatch	accepted	sparql-label+review	claude (AI agent, session 2026-09-25)	matched 'sustainability' (76 sitelinks)
acat/everyday	wd/Q1129653	closeMatch	accepted	reviewer-suggested-label+review	claude (AI agent, session 2026-09-25)	
acat/food-and-drink	wd/Q2095	closeMatch	accepted	sparql-label+review	claude (AI agent, session 2026-09-25)	matched 'food' (250 sitelinks)
acat/cooking	wd/Q38695	exactMatch	accepted	sparql-label+review	claude (AI agent, session 2026-09-25)	matched 'cooking' (138 sitelinks)
acat/cuisines	wd/Q1778821	exactMatch	accepted	reviewer-suggested-label+review	claude (AI agent, session 2026-09-25)	
acat/beverages	wd/Q40050	exactMatch	accepted	reviewer-suggested-label+review	claude (AI agent, session 2026-09-25)	
acat/dietary-customs			unmatched	sparql-label+review	claude (AI agent, session 2026-09-25)	no Wikidata item judged equivalent in review
acat/clothing-and-adornment	wd/Q11460	closeMatch	accepted	sparql-label+review	claude (AI agent, session 2026-09-25)	matched 'clothing' (219 sitelinks)
acat/traditional-dress			unmatched	sparql-label+review	claude (AI agent, session 2026-09-25)	no Wikidata item judged equivalent in review
acat/body-adornment	wd/Q890057	narrowMatch	accepted	reviewer-suggested-label+review	claude (AI agent, session 2026-09-25)	
acat/home-and-household	wd/Q259059	closeMatch	accepted	sparql-label+review	claude (AI agent, session 2026-09-25)	matched 'household' (62 sitelinks)
acat/housing	wd/Q1247867	exactMatch	accepted	sparql-label+review	claude (AI agent, session 2026-09-25)	matched 'housing' (19 sitelinks)
acat/household-and-care-work	wd/Q7897274	relatedMatch	accepted	sparql-label+review	claude (AI agent, session 2026-09-25)	matched 'unpaid work' (14 sitelinks)
acat/gardening	wd/Q124946	exactMatch	accepted	sparql-label+review	claude (AI agent, session 2026-09-25)	matched 'gardening' (101 sitelinks)
acat/pets	wd/Q39201	exactMatch	accepted	reviewer-suggested-label+review	claude (AI agent, session 2026-09-25)	
acat/rites-of-passage	wd/Q1131696	exactMatch	accepted	reviewer-suggested-label+review	claude (AI agent, session 2026-09-25)	
acat/birth-and-naming-customs	wd/Q3534263	narrowMatch	accepted	reviewer-suggested-label+review	claude (AI agent, session 2026-09-25)	
acat/coming-of-age	wd/Q681737	exactMatch	accepted	sparql-label+review	claude (AI agent, session 2026-09-25)	matched 'coming of age' (21 sitelinks)
acat/marriage-and-partnership	wd/Q8445	closeMatch	accepted	reviewer-suggested-label+review	claude (AI agent, session 2026-09-25)	
acat/funerary-customs	wd/Q201676	closeMatch	accepted	reviewer-suggested-label+review	claude (AI agent, session 2026-09-25)	
acat/festivals-and-holidays	wd/Q132241	closeMatch	accepted	reviewer-suggested-label+review	claude (AI agent, session 2026-09-25)	
acat/calendars-and-timekeeping			unmatched	sparql-label+review	claude (AI agent, session 2026-09-25)	no Wikidata item judged equivalent in review
acat/sport	wd/Q349	exactMatch	accepted	sparql-label+review	claude (AI agent, session 2026-09-25)	matched 'sport' (270 sitelinks)
acat/ball-sports	wd/Q877517	exactMatch	accepted	reviewer-suggested-label+review	claude (AI agent, session 2026-09-25)	
acat/athletics	wd/Q542	exactMatch	accepted	sparql-label+review	claude (AI agent, session 2026-09-25)	matched 'athletics' (160 sitelinks)
acat/martial-arts-and-combat-sports	wd/Q11417	closeMatch	accepted	sparql-label+review	claude (AI agent, session 2026-09-25)	matched 'martial arts' (133 sitelinks)
acat/water-sports	wd/Q61065	exactMatch	accepted	reviewer-suggested-label+review	claude (AI agent, session 2026-09-25)	
acat/winter-sports	wd/Q204686	exactMatch	accepted	reviewer-suggested-label+review	claude (AI agent, session 2026-09-25)	
acat/equestrian-sports	wd/Q179226	closeMatch	accepted	reviewer-suggested-label+review	claude (AI agent, session 2026-09-25)	
acat/traditional-sports			unmatched	sparql-label+review	claude (AI agent, session 2026-09-25)	no Wikidata item judged equivalent in review
acat/physical-fitness	wd/Q309252	closeMatch	accepted	reviewer-suggested-label+review	claude (AI agent, session 2026-09-25)	
acat/games-and-play	wd/Q11410	closeMatch	accepted	reviewer-suggested-label+review	claude (AI agent, session 2026-09-25)	
acat/board-and-table-games	wd/Q131436	closeMatch	accepted	reviewer-suggested-label+review	claude (AI agent, session 2026-09-25)	
acat/video-games	wd/Q7889	exactMatch	accepted	reviewer-suggested-label+review	claude (AI agent, session 2026-09-25)	
acat/childrens-play	wd/Q11422	narrowMatch	accepted	reviewer-suggested-label+review	claude (AI agent, session 2026-09-25)	
acat/games-of-chance	wd/Q11416	closeMatch	accepted	sparql-label+review	claude (AI agent, session 2026-09-25)	matched 'gambling' (137 sitelinks)
acat/hobbies-and-recreation	wd/Q47728	closeMatch	accepted	reviewer-suggested-label+review	claude (AI agent, session 2026-09-25)	
acat/outdoor-recreation	wd/Q968907	exactMatch	accepted	sparql-label+review	claude (AI agent, session 2026-09-25)	matched 'outdoor recreation' (31 sitelinks)
acat/travel-and-tourism	wd/Q49389	closeMatch	accepted	reviewer-suggested-label+review	claude (AI agent, session 2026-09-25)	
acat/etiquette-and-customs	wd/Q188907	closeMatch	accepted	sparql-label+review	claude (AI agent, session 2026-09-25)	matched 'etiquette' (88 sitelinks)
acat/health	wd/Q12147	closeMatch	accepted	sparql-label+review	claude (AI agent, session 2026-09-25)	matched 'health' (257 sitelinks)
acat/human-body	wd/Q23852	exactMatch	accepted	reviewer-suggested-label+review	claude (AI agent, session 2026-09-25)	
acat/human-anatomy	wd/Q3999	exactMatch	accepted	sparql-label+review	claude (AI agent, session 2026-09-25)	matched 'human anatomy' (96 sitelinks)
acat/human-physiology	wd/Q2892439	exactMatch	accepted	sparql-label+review	claude (AI agent, session 2026-09-25)	matched 'human physiology' (34 sitelinks)
acat/medicine	wd/Q11190	exactMatch	accepted	sparql-label+review	claude (AI agent, session 2026-09-25)	matched 'medicine' (250 sitelinks)
acat/internal-medicine	wd/Q11180	exactMatch	accepted	sparql-label+review	claude (AI agent, session 2026-09-25)	matched 'internal medicine' (68 sitelinks)
acat/surgery	wd/Q40821	exactMatch	accepted	sparql-label+review	claude (AI agent, session 2026-09-25)	matched 'surgery' (122 sitelinks)
acat/paediatrics	wd/Q123028	exactMatch	accepted	sparql-label+review	claude (AI agent, session 2026-09-25)	matched 'pediatrics' (85 sitelinks)
acat/obstetrics-and-gynaecology	wd/Q80015	exactMatch	accepted	sparql-label+review	claude (AI agent, session 2026-09-25)	matched 'obstetrics and gynaecology' (34 sitelinks)
acat/psychiatry	wd/Q7867	exactMatch	accepted	sparql-label+review	claude (AI agent, session 2026-09-25)	matched 'psychiatry' (122 sitelinks)
acat/neurology	wd/Q83042	exactMatch	accepted	sparql-label+review	claude (AI agent, session 2026-09-25)	matched 'neurology' (97 sitelinks)
acat/cardiology	wd/Q10379	exactMatch	accepted	sparql-label+review	claude (AI agent, session 2026-09-25)	matched 'cardiology' (101 sitelinks)
acat/oncology	wd/Q162555	exactMatch	accepted	sparql-label+review	claude (AI agent, session 2026-09-25)	matched 'oncology' (93 sitelinks)
acat/immunology	wd/Q101929	exactMatch	accepted	sparql-label+review	claude (AI agent, session 2026-09-25)	matched 'immunology' (91 sitelinks)
acat/pharmacology	wd/Q128406	exactMatch	accepted	sparql-label+review	claude (AI agent, session 2026-09-25)	matched 'pharmacology' (105 sitelinks)
acat/dentistry	wd/Q12128	exactMatch	accepted	sparql-label+review	claude (AI agent, session 2026-09-25)	matched 'dentistry' (123 sitelinks)
acat/geriatrics	wd/Q10384	exactMatch	accepted	sparql-label+review	claude (AI agent, session 2026-09-25)	matched 'geriatrics' (61 sitelinks)
acat/diseases-and-disorders	wd/Q12136	closeMatch	accepted	reviewer-suggested-label+review	claude (AI agent, session 2026-09-25)	
acat/infectious-diseases	wd/Q18123741	exactMatch	accepted	reviewer-suggested-label+review	claude (AI agent, session 2026-09-25)	
acat/noncommunicable-diseases	wd/Q3137154	exactMatch	accepted	reviewer-suggested-label+review	claude (AI agent, session 2026-09-25)	
acat/genetic-disorders	wd/Q200779	exactMatch	accepted	reviewer-suggested-label+review	claude (AI agent, session 2026-09-25)	
acat/injuries	wd/Q193078	exactMatch	accepted	reviewer-suggested-label+review	claude (AI agent, session 2026-09-25)	
acat/mental-health	wd/Q317309	exactMatch	accepted	sparql-label+review	claude (AI agent, session 2026-09-25)	matched 'mental health' (84 sitelinks)
acat/public-health	wd/Q189603	exactMatch	accepted	sparql-label+review	claude (AI agent, session 2026-09-25)	matched 'public health' (79 sitelinks)
acat/epidemiology	wd/Q133805	exactMatch	accepted	sparql-label+review	claude (AI agent, session 2026-09-25)	matched 'epidemiology' (91 sitelinks)
acat/global-health	wd/Q2725393	exactMatch	accepted	sparql-label+review	claude (AI agent, session 2026-09-25)	matched 'global health' (16 sitelinks)
acat/health-systems	wd/Q11000047	exactMatch	accepted	reviewer-suggested-label+review	claude (AI agent, session 2026-09-25)	
acat/vaccination	wd/Q1415366	closeMatch	accepted	sparql-label+review	claude (AI agent, session 2026-09-25)	matched 'immunization' (43 sitelinks)
acat/water-sanitation-and-hygiene	wd/Q949149	closeMatch	accepted	sparql-label+review	claude (AI agent, session 2026-09-25)	matched 'sanitation' (51 sitelinks)
acat/nutrition	wd/Q2138622	exactMatch	accepted	sparql-label+review	claude (AI agent, session 2026-09-25)	matched 'nutrition' (81 sitelinks)
acat/sexual-and-reproductive-health	wd/Q3501817	exactMatch	accepted	sparql-label+review	claude (AI agent, session 2026-09-25)	matched 'sexual and reproductive health' (23 sitelinks)
acat/nursing-and-care	wd/Q121176	closeMatch	accepted	sparql-label+review	claude (AI agent, session 2026-09-25)	matched 'nursing' (90 sitelinks)
acat/traditional-and-complementary-medicine	wd/Q771035	closeMatch	accepted	sparql-label+review	claude (AI agent, session 2026-09-25)	matched 'traditional medicine' (72 sitelinks)
